##########################;;;;;;;;;;;;;x
##########################Decisions###########################;;;;;;;;;;;;;x
##########################;;;;;;;;;;;;;x
neodorean_imperial_scientific_aspiration_title;Neodorean Imperial Scientific Aspirations;;;;;;;;;;;;;;x
neodorean_imperial_scientific_aspiration_desc;Relentless innovation and imperial ambition have driven Neodore to greatness, shaping a legacy that few can rival. Once more, the leaders of Neodore weigh the choice to initiate a five-year surge, a bold and unrestrained drive to expand its reach and establish supremacy at any cost.\n§RTHIS DECISION WILL CONVERT OUR RESEARCH BONUS INTO A -15%\nPENATLY FOR FIVE YEARS, STARTING FIVE YEARS FROM NOW.\n§RWHILE AT WAR, SWITCHING FROM STAGE 2 TO OTHER OPTIONS WILL BE DISABLED;;;;;;;;;;;;;;x
pergardian_ethos_of_reinvention_title;The Pergardean Ethos of Progress;;;;;;;;;;;;;;x
pergardian_ethos_of_reinvention_desc;Through our relentless commitment to hard work and our willingness to embrace and learn from the innovations of others, Pergard has successfully integrated modern methodologies into our research efforts. With our newly westernized institutions and a culture that values industriousness and knowledge exchange, we stand poised to accelerate our scientific progress and secure a brighter future for our nation.;;;;;;;;;;;;;;x
you_too_can_be_haatosi;You too can be Haatosi!;;;;;;;;;;;;;;x
you_too_can_be_haatosi_title;You too can be Haatosi;;;;;;;;;;;;;;x
you_too_can_be_haatosi_desc;The nation of Haatos has embarked on a daring and controversial mission to integrate the culturally distinct Sinray people into the fabric of Haatosi society. Through a mix of education reforms, economic incentives, and cultural programs, Haatos hopes to encourage Sinray citizens to adopt Haatosi values, traditions, and language.;;;;;;;;;;;;;;x
contest_over_zyrosie_title;Unite the Zyrosie;;;;;;;;;;;;;;x
contest_over_zyrosie_desc;With all Zyrosie lands under our control, their people are now being integrated into the state, their distinct identity gradually loosened and absorbed into our culture.;;;;;;;;;;;;;;x
dissolve_the_crown_of_teril_title;Dissolve the Crown of Teril;;;;;;;;;;;;;;x
dissolve_the_crown_of_teril_desc;By right of conquest and the annexation of Teril’s territories, we, in concert with our esteemed neighbors, do now hold dominion over its people. In this solemn charge, we may see fit to diminish and dissolve those institutional, cultural, and linguistic vestiges which have long upheld the notion of a distinct Terilean identity, in pursuit of a greater unity and order.;;;;;;;;;;;;;;x
dissolve_the_crown_of_ormal_title;Dissolve the Crown of Ormal;;;;;;;;;;;;;;x
dissolve_the_crown_of_ormal_desc;By right of conquest and the annexation of Ormal’s territories, we, in concert with our esteemed neighbors, do now hold dominion over its people. In this solemn charge, we may see fit to diminish and dissolve those institutional, cultural, and linguistic vestiges which have long upheld the notion of a distinct Ormalean identity, in pursuit of a greater unity and order.;;;;;;;;;;;;;;x
dissolve_the_crown_of_nadorilem_title;Dissolve the Crown of Nadorilem;;;;;;;;;;;;;;x
dissolve_the_crown_of_nadorilem_desc;By right of conquest and the annexation of Nadorilem's territories, we, in concert with our esteemed neighbors, do now hold dominion over its people. In this solemn charge, we may see fit to diminish and dissolve those institutional, cultural, and linguistic vestiges which have long upheld the notion of a distinct Nadorilemi identity, in pursuit of a greater unity and order.;;;;;;;;;;;;;;x
the_eternal_strife_over_adranal_title;The Eternal Strife over Adranal;;;;;;;;;;;;;;x
the_eternal_strife_over_adranal_desc;After centuries marked by relentless attempts at conquest and the ravages of countless struggles, the lands of Adranal have at last come under our dominion, kindling the hope that this long era of strife and turmoil may finally draw to a close.;;;;;;;;;;;;;;x
form_HAM_title;Hamero Takeover;;;;;;;;;;;;;;x
form_HAM_desc;In a most audacious and unprecedented act, the Hamero faction has cast aside the sacred bounds of the constitution, seizing the reins of government and shattering the delicate equilibrium that once preserved harmony in Spherso.\n§RTHIS WILL START A CIVILWAR\n§RLOSE CALERO ACCEPTED;;;;;;;;;;;;;;x
form_CAL_title;Calero Takeover;;;;;;;;;;;;;;x
form_CAL_desc;In a most audacious and unprecedented act, the Calero faction has cast aside the sacred bounds of the constitution, seizing the reins of government and shattering the delicate equilibrium that once preserved harmony in Spherso.\n§RTHIS WILL START A CIVILWAR\n§RLOSE HAMERO ACCEPTED;;;;;;;;;;;;;;x
ultimate_compromise_title;Rewrite the Consitution;;;;;;;;;;;;;;x
ultimate_compromise_desc;In a momentous yet precarious accord, the Hamero and Calero factions, long divided by strife, have resolved to rewrite the constitution together. This act, though hailed as a triumph of peace over conflict, comes at great cost, leaving the nation enfeebled and its unity strained under the weight of compromise.\n§RLOSE CALERO ACCEPTED\n§RLOSE HAMERO ACCEPTED;;;;;;;;;;;;;;x
Redrogard_sudden_strike_against_HAA_title;Sudden Strike on Haatos;;;;;;;;;;;;;;x
Redrogard_sudden_strike_against_HAA_desc;In a bold and thunderous declaration, the nation of Redrogard has cast diplomacy aside, rallying its armies for a rapid and decisive strike against Haatos. With precision and swiftness as its creed, this campaign aims to subdue the foe before they can marshal their strength, heralding a conflict of unmatched ferocity.\n§RGain a Humiliate CB on Haatos lasting 90 days!;;;;;;;;;;;;;;x
Redrogard_sudden_strike_against_DEV_title;Sudden Strike on Devogard;;;;;;;;;;;;;;x
Redrogard_sudden_strike_against_DEV_desc;In a bold and thunderous declaration, the nation of Redrogard has cast diplomacy aside, rallying its armies for a rapid and decisive strike against Devogard. With precision and swiftness as its creed, this campaign aims to subdue the foe before they can marshal their strength, heralding a conflict of unmatched ferocity.\n§RGain a Humiliate CB on Devogard lasting 90 days!;;;;;;;;;;;;;;x
Redrogard_sudden_strike_against_ESP_title;Sudden Strike on Esperos;;;;;;;;;;;;;;x
Redrogard_sudden_strike_against_ESP_desc;In a bold and thunderous declaration, the nation of Redrogard has cast diplomacy aside, rallying its armies for a rapid and decisive strike against Esperos. With precision and swiftness as its creed, this campaign aims to subdue the foe before they can marshal their strength, heralding a conflict of unmatched ferocity.\n§RGain a Humiliate CB on Esperos lasting 90 days!;;;;;;;;;;;;;;x
Redrogard_sudden_strike_against_EMA_title;Sudden Strike on Emadem;;;;;;;;;;;;;;x
Redrogard_sudden_strike_against_EMA_desc;In a bold and thunderous declaration, the nation of Redrogard has cast diplomacy aside, rallying its armies for a rapid and decisive strike against Emadem. With precision and swiftness as its creed, this campaign aims to subdue the foe before they can marshal their strength, heralding a conflict of unmatched ferocity.\n§RGain a Humiliate CB on Emadem lasting 90 days!;;;;;;;;;;;;;;x
Redrogard_sudden_strike_against_DOR_title;Sudden Strike on Doridia;;;;;;;;;;;;;;x
Redrogard_sudden_strike_against_DOR_desc;In a bold and thunderous declaration, the nation of Redrogard has cast diplomacy aside, rallying its armies for a rapid and decisive strike against Doridia. With precision and swiftness as its creed, this campaign aims to subdue the foe before they can marshal their strength, heralding a conflict of unmatched ferocity.\n§RGain a Humiliate CB on Doridia lasting 90 days!;;;;;;;;;;;;;;x
elowaar_realm_blood_and_harvest_title;Our Realm! Our Blood! Our Harvest!;;;;;;;;;;;;;;x
