##########################;;;;;;;;;;;;;x
##########################Decisions###########################;;;;;;;;;;;;;x
##########################;;;;;;;;;;;;;x
neodorean_imperial_scientific_aspiration_title;Neodorean Imperial Scientific Aspirations;;;;;;;;;;;;;;x
neodorean_imperial_scientific_aspiration_desc;Relentless innovation and imperial ambition have driven Neodore to greatness, shaping a legacy that few can rival. Once more, the leaders of Neodore weigh the choice to initiate a five-year surge, a bold and unrestrained drive to expand its reach and establish supremacy at any cost.\n§RTHIS DECISION WILL CONVERT OUR RESEARCH BONUS INTO A -25%\nPENATLY FOR FIVE YEARS, STARTING FIVE YEARS FROM NOW.\n§RWHILE AT WAR, SWITCHING FROM STAGE 2 TO OTHER OPTIONS WILL BE DISABLED;;;;;;;;;;;;;;x
AD2_dry_dock_modernization_title;Adalsian Drydock Doctrine;;;;;;;;;;;;;;x
AD2_dry_dock_modernization_desc;It is paramount that we develop the skills and structures it takes to conquer the seas of which we have so many. It is this that makes us not shy to act swiftly and open all channels to gain the knowledge and the know how to construct, maintain and operate a large and magnificent Navy!;;;;;;;;;;;;;;x
EM1_war_industry_directorate_title;Emademi Military Industrial Directorate;;;;;;;;;;;;;;x
EM1_war_industry_directorate_desc;Emadem has in its history experienced many conflicts which have carried their suffering into our heartlands and dealt us unenviable suffering. It is this that motivates us and our military to establish structures which are unrivaled in terms of military acumen. May no enemy invade our lands and not regret it deeply.;;;;;;;;;;;;;;x
PI1_professional_officer_title;Pinaro Officer Professionalism;;;;;;;;;;;;;;x
PI1_professional_officer_desc;It was the Militia-Army which established the Republic and it were the officers of the liberal nobility which wrote our constitution. In it, they realized a structure keeping the army beholden to the state, but in a manner which allows no mere politician to insert himself into its command structure. Positions in the army of Pinaro cannot be bought, nor can they be appointed, but rather they are achieved in an environment of meritocratic totality.;;;;;;;;;;;;;;x
pergardian_ethos_of_reinvention_title;The Pergardean Ethos of Progress;;;;;;;;;;;;;;x
pergardian_ethos_of_reinvention_desc;Through our relentless commitment to hard work and our willingness to embrace and learn from the innovations of others, Pergard has successfully integrated modern methodologies into our research efforts. With our newly westernized institutions and a culture that values industriousness and knowledge exchange, we stand poised to accelerate our scientific progress and secure a brighter future for our nation.;;;;;;;;;;;;;;x
you_too_can_be_haatosi;You too can be Haatosi!;;;;;;;;;;;;;;x
you_too_can_be_haatosi_title;You too can be Haatosi;;;;;;;;;;;;;;x
you_too_can_be_haatosi_desc;§YHaatos§! will gain a §Y0.6% Assimilation bonus§! on the §YSinray culture§!\n\nThe nation of Haatos has embarked on a daring and controversial mission to integrate the culturally distinct Sinray people into the fabric of Haatosi society. Through a mix of education reforms, economic incentives, and cultural programs, Haatos hopes to encourage Sinray citizens to adopt Haatosi values, traditions, and language.;;;;;;;;;;;;;;x
#;;;;;;;;;;;;;x
contest_over_zyrosie_title;Unite the Zyrosie;;;;;;;;;;;;;;x
contest_over_zyrosie_desc;Both §YEsperos and Haatos§! will gain a §Y1% Assimilation bonus§! on the §YZyrosie culture§!\n\nWith all Zyrosie lands under our control, their people are now being integrated into the state, their distinct identity gradually loosened and absorbed into our culture.;;;;;;;;;;;;;;x
#;;;;;;;;;;;;;x
contest_over_myham_title;Integrate Myhamaria;;;;;;;;;;;;;;x
contest_over_myham_desc;§YEsperos§!, §YRedrogard§!, and §YHaatos§! gain a §Y1% Assimilation bonus§! toward §YMyham culture§!.\n\nWith all Myham lands under our rule, their people now enter a new age und our raised flags, local loyalties softened, and the Myham name slowly woven into the fabric of our own, inherited by a greater power.;;;;;;;;;;;;;;x
#;;;;;;;;;;;;;x
elysan_reunion_title;The Elysan Reunion;;;;;;;;;;;;;;x
elysan_reunion_desc;After securing the Peninsula, §YForse§! proclaims the reunion with the §YElysan people§!, the very root of Forse’s own origin.\n\nNo foreign yoke is lifted today, for the Elysan were never foreign to us. In this gentle reconquest, we do not remake the Elysan, but recall ourselves, a shared cradle, a familiar tongue, and a lineage restored, this seam of history finally stitched closed.;;;;;;;;;;;;;;x
#;;;;;;;;;;;;;;x
state_west_sinray_island_title;Found the Western Sinray Island Company;;;;;;;;;;;;;;x
state_west_sinray_island_desc;We may impose modern administration upon the §YWestern Sinray Island§!.\n\nA land rich in ressources, and equatorial abundance, its people numerous, foreign, and ungoverned by any civilized state. We shall erect ministries where none stood, chart censuses where none were taken, and bind the island’s wealth to the ledgers of rational governance not for their likeness to us, but for their value to us.;;;;;;;;;;;;;;x
#;;;;;;;;;;;;;;x
state_east_sinray_island_title;Found the Eastern Sinray Island Company;;;;;;;;;;;;;;x
