##########################Invention_and_Technology_colorcoding###########################;;;;;;;;;;;;;x
##########################;;;;;;;;;;;;;x
################Inventions_colorcoding_mobilisation_size_(§R);;;;;;;;;;;;;;x
mobilisation_size;§RMobilisation Size;;;;;;;;;;;;;;x
railroad_transport_groups;§RRailroad Transport Groups;;;;;;;;;;;;;;x
staff_command_support;§RStaff Command Support;;;;;;;;;;;;;;x
mobilization_time_tables;§RMobilization Time Tables;;;;;;;;;;;;;;x
personnel_category_tables;§RPersonnel Category Tables;;;;;;;;;;;;;;x
total_war_mobilisation;§RTotal War Mobilisation;;;;;;;;;;;;;;x
improved_railroad_mobilisation_timetables;§RImproved Railroad Mobilisation Timetables;;;;;;;;;;;;;;x
railroad_mobilisation_timetables;§RRailroad Mobilisation Timetables;;;;;;;;;;;;;;x
levee_en_masse;§RLevée en Masse;;;;;;;;;;;;;;x
################Inventions_colorcoding_pop_growth_(§G);;;;;;;;;;;;;;x
################Inventions_colorcoding_RGO_boost(§B);;;;;;;;;;;;;;x
tractors;§BTractors;;;;;;;;;;;;;;x
machine_tools;§BMachine Tools;;;;;;;;;;;;;;x
nitroglycerin;§BNitroglycerin;;;;;;;;;;;;;;x
electrical_lighting;§BElectrical Lighting;;;;;;;;;;;;;;x
################New_Inventions;;;;;;;;;;;;;;x
continental_naval_reach;Continental Naval Reach;;;;;;;;;;;;;;x
intercontinental_naval_reach;Intercontinental Naval Reach;;;;;;;;;;;;;;x
global_naval_reach;Global Naval Reach;;;;;;;;;;;;;;x
##########################Unciv_Unit_unlock_fix###########################;;;;;;;;;;;;;x
cuirassier_activation_unciv;Cuirassier Activation (Unciv);;;;;;;;;;;;;;;;;;;;x,,,,,;;;;;;;;;;;;;;;;;;;;
cuirassier_activation_unciv_desc;Debugging Invention to give Uncivs horse units.;;;;;;;;;;;;;;;;;;;;x,,,,,;;;;;;;;;;;;;;;;;;;;
dragoon_activation_unciv;Dragoon Activation (Unciv);;;;;;;;;;;;;;;;;;;;x,,,,,;;;;;;;;;;;;;;;;;;;;
dragoon_activation_unciv_desc;Debugging Invention to give Uncivs horse units.;;;;;;;;;;;;;;;;;;;;x,,,,,;;;;;;;;;;;;;;;;;;;;
hussar_activation_unciv;Hussar Activation (Unciv);;;;;;;;;;;;;;;;;;;;x,,,,,;;;;;;;;;;;;;;;;;;;;
hussar_activation_unciv_desc;Debugging Invention to give Uncivs horse units.;;;;;;;;;;;;;;;;;;;;x,,,,,;;;;;;;;;;;;;;;;;;;;
##########################;;;;;;;;;;;;;x
##########################Costume_Tech_Schools###########################;;;;;;;;;;;;;x
##########################;;;;;;;;;;;;;x
NEO1_tech_school;Neodorean Imperial Aspiration;;;;;;;;;;;;;;x
NEO2_tech_school;Neodorean Imperial Exhaustion;;;;;;;;;;;;;;x
M17_tech_school;Pergardean Ethos of Progress;;;;;;;;;;;;;;x
AD2_dry_dock_modernization_tech_school;Adalsian Drydock Doctrine;;;;;;;;;;;;;;x
EM1_war_industry_directorate_tech_school;Emademi Military Industrial Directorate;;;;;;;;;;;;;;x
PI1_professional_officer_tech_school;Pinaro Officer Professionalism;;;;;;;;;;;;;;x
