##########################Nation&Cultures###########################;;;;;;;;;;;;;x
###############Sorted like Ferrum_Mare\common\countires.txt#########;;;;;;;;;;;;;x
##########################Nation_names###########################;;;;;;;;;;;;;x
##########################;;;;;;;;;;;;;x
LCT;Host Nation;Liechtenstein;Liechtenstein;;Liechtenstein;;;;;;;;;x;;;;;;;;;;;
LCT_presidential_dictatorship; ;;;;;;;;;;;;;x;;;;;;;;;;;
REB;Rebels;Rebelles;Partisanen;;Rebeldes;;;;;;;;;x;;;;
BOT;BOT;;;;;;;;;;;;;x
UNC;Uncolonized;;;;;;;;;;;;;x
BOT;BOT;;;;;;;;;;;;;
BOT_absolute_monarchy;BOT;;;;;;;;;;;;;
BOT_prussian_constitutionalism;BOT;;;;;;;;;;;;;
BOT_hms_government;BOT;;;;;;;;;;;;;
BOT_fascist_dictatorship;BOT;;;;;;;;;;;;;
BOT_proletarian_dictatorship;BOT;;;;;;;;;;;;;
BOT_democracy;BOT;;;;;;;;;;;;;
BOT_presidential_dictatorship;BOT;;;;;;;;;;;;;
##########################Formables###########################;;;;;;;;;;;;;x
MI1;Hegemon of Milogard;;;;;;;;;;;;;x
NA1;Kindgdom of Nadorilem;;;;;;;;;;;;;x
ES6;Mighty Esdorea;;;;;;;;;;;;;x
FI1;Union of Fidem;;;;;;;;;;;;;x
PE3;Pera Empire;;;;;;;;;;;;;x
AD2;Adalsian Federation;;;;;;;;;;;;;x
##########################Formables_Adjectives###########################;;;;;;;;;;;;;x
MI1_ADJ;Gardian;;;;;;;;;;;;;x
NA1_ADJ;Nadorilemi;;;;;;;;;;;;;x
ES6_ADJ;Esdorean;;;;;;;;;;;;;x
FI1_ADJ;Fidemi;;;;;;;;;;;;;x
PE3_ADJ;Peran;;;;;;;;;;;;;x
AD2_ADJ;Adalsian;;;;;;;;;;;;;x
##########################;;;;;;;;;;;;;x
DE1;Devogard;;;;;;;;;;;;;x  
DE1_absolute_monarchy;Centralist Devogard;;;;;;;;;;;;;x  
DE1_prussian_constitutionalism;Devogard;;;;;;;;;;;;;x  
DE1_hms_government;Sovereigns Devogard;;;;;;;;;;;;;x  
DE1_fascist_dictatorship;Devonian Order;;;;;;;;;;;;;x  
DE1_proletarian_dictatorship;People's Commune of Devogard;;;;;;;;;;;;;x  
DE1_democracy;Commonwealth of Devogard;;;;;;;;;;;;;x  
DE1_presidential_dictatorship;Devogardian Federation;;;;;;;;;;;;;x  
DO1;Doridia;;;;;;;;;;;;;x  
DO1_absolute_monarchy;Doridian Monarchy;;;;;;;;;;;;;x  
DO1_prussian_constitutionalism;Grand Duchy of Doridia;;;;;;;;;;;;;x  
DO1_hms_government;Doridia;;;;;;;;;;;;;x  
DO1_fascist_dictatorship;Doridian National Union;;;;;;;;;;;;;x  
DO1_proletarian_dictatorship;People's Republic of Doridia;;;;;;;;;;;;;x  
DO1_democracy;Free Republic of Doridia;;;;;;;;;;;;;x  
DO1_presidential_dictatorship;Federal Dominion of Doridia;;;;;;;;;;;;;x  
EM1;Emadem;;;;;;;;;;;;;x  
EM1_absolute_monarchy;Realm of Emadem;;;;;;;;;;;;;x  
EM1_prussian_constitutionalism;Holy Duchy of Emadem;;;;;;;;;;;;;x  
EM1_hms_government;Principality of Emadem;;;;;;;;;;;;;x  
EM1_fascist_dictatorship;Emademi National State;;;;;;;;;;;;;x  
EM1_proletarian_dictatorship;Egalitarian Republic of Emadem;;;;;;;;;;;;;x  
EM1_democracy;Republic of Emadem;;;;;;;;;;;;;x  
EM1_presidential_dictatorship;Emademi Federation;;;;;;;;;;;;;x  
ES1;Esporos;;;;;;;;;;;;;x  
ES1_absolute_monarchy;Empire of Esporos;;;;;;;;;;;;;x  
ES1_prussian_constitutionalism;Esporos;;;;;;;;;;;;;x  
ES1_hms_government;Dualitarian Esporos;;;;;;;;;;;;;x  
ES1_fascist_dictatorship;Esporosdie Ethnic Realm;;;;;;;;;;;;;x  
ES1_proletarian_dictatorship;Esporosdie Democratic Republic;;;;;;;;;;;;;x  
ES1_democracy;Republic of Esporos;;;;;;;;;;;;;x  
ES1_presidential_dictatorship;Esporosdie Federal Realm;;;;;;;;;;;;;x  
FO1;Forse;;;;;;;;;;;;;x  
FO1_absolute_monarchy;The Forsean Crown;;;;;;;;;;;;;x  
FO1_prussian_constitutionalism;Realm of Forse;;;;;;;;;;;;;x  
FO1_hms_government;Princedom of Forse;;;;;;;;;;;;;x  
FO1_fascist_dictatorship;Forsean Super-National State;;;;;;;;;;;;;x  
FO1_proletarian_dictatorship;Electoral Commune of Forse;;;;;;;;;;;;;x  
FO1_democracy;Democratic-Republic of Forse;;;;;;;;;;;;;x  
FO1_presidential_dictatorship;Civic-Federal State of Forse;;;;;;;;;;;;;x  
HA1;Haatos;;;;;;;;;;;;;x  
HA1_absolute_monarchy;Kingdom of Haatos;;;;;;;;;;;;;x  
HA1_prussian_constitutionalism;Grand Duchy of Haatos;;;;;;;;;;;;;x  
HA1_hms_government;Principality of Haatos;;;;;;;;;;;;;x  
HA1_fascist_dictatorship;Haatosian Free State;;;;;;;;;;;;;x  
HA1_proletarian_dictatorship;People's State of Haatos;;;;;;;;;;;;;x  
HA1_democracy;Republican Haatos;;;;;;;;;;;;;x  
HA1_presidential_dictatorship;Haatosian Presidential Federation;;;;;;;;;;;;;x  
HE1;Herradem;;;;;;;;;;;;;x  
HE1_absolute_monarchy;Grand Realm of Herradem;;;;;;;;;;;;;x  
HE1_prussian_constitutionalism;Military-Dominion of Herradem;;;;;;;;;;;;;x  
HE1_hms_government;Principality of Herradem;;;;;;;;;;;;;x  
HE1_fascist_dictatorship;National Realm of Herradem;;;;;;;;;;;;;x  
HE1_proletarian_dictatorship;People's Democratic Herradem;;;;;;;;;;;;;x  
HE1_democracy;Herradosi Unitary-Republic;;;;;;;;;;;;;x  
HE1_presidential_dictatorship;Herradosi Federation;;;;;;;;;;;;;x  
NE1;Neodore;;;;;;;;;;;;;x  
NE1_absolute_monarchy;Soverigns Neodore;;;;;;;;;;;;;x  
NE1_prussian_constitutionalism;Empire of Neodore;;;;;;;;;;;;;x  
NE1_hms_government;Crown-Electorate of Neodore;;;;;;;;;;;;;x  
NE1_fascist_dictatorship;Neodorian Ethnic State;;;;;;;;;;;;;x  
NE1_proletarian_dictatorship;State Commune of Neodore;;;;;;;;;;;;;x  
NE1_democracy;Consitutionalist Neodore;;;;;;;;;;;;;x  
NE1_presidential_dictatorship;Centralist Federal Neodore;;;;;;;;;;;;;x  
PA1;Palpedia;;;;;;;;;;;;;x  
PA1_absolute_monarchy;Empire of Palpedia;;;;;;;;;;;;;x  
PA1_prussian_constitutionalism;Lordship of Palpedia;;;;;;;;;;;;;x  
PA1_hms_government;Parliamentary Monarchy of Palpedia;;;;;;;;;;;;;x  
PA1_fascist_dictatorship;Grand Paledia;;;;;;;;;;;;;x  
PA1_proletarian_dictatorship;People's Republic's in Palpedia;;;;;;;;;;;;;x  
PA1_democracy;Democratic Palpedian State;;;;;;;;;;;;;x  
PA1_presidential_dictatorship;Paledian Executive Republic;;;;;;;;;;;;;x  
RE1;Redrogard;;;;;;;;;;;;;x  
RE1_absolute_monarchy;Kingdom of Redrogard;;;;;;;;;;;;;x  
RE1_prussian_constitutionalism;Grand Duchy of Redrogard;;;;;;;;;;;;;x  
RE1_hms_government;Principality of Redrogard;;;;;;;;;;;;;x  
RE1_fascist_dictatorship;Redrogardian State;;;;;;;;;;;;;x  
RE1_proletarian_dictatorship;People's Republic of Redrogard;;;;;;;;;;;;;x  
RE1_democracy;Republic of Redrogard;;;;;;;;;;;;;x  
